time,Reaction_Force_Along_X,Reaction_Force_Along_Y
0.655,0.0091969848357536,0.0091175999685728
0.66,0.0092397724142913,0.0090524208277622
0.665,0.0093041306821092,0.0091080555300523
0.67,0.0093740034348027,0.0091764519482314
0.675,0.0094321235602497,0.0092319537881451
0.68,0.0095019070233482,0.0093002524244676
0.685,0.0095716892461238,0.0093685497910164
0.69,0.0096106692162455,0.009417081216205
0.695,0.0096802264215265,0.0094852331823773
0.7,0.0096184491009595,0.0095254879864328
0.705,0.0096753119554092,0.0095880340610483
0.71,0.0097119360952403,0.0096419968947587
0.715,0.0097770397118209,0.0097009253770276
0.72,0.0098453202108964,0.0097686720506346
0.725,0.0099135994512269,0.0098364174438402
0.73,0.0099760812904257,0.009898321075622
0.735,0.010044318377194,0.0099660240847179
0.74,0.010106618072831,0.010022781634161
0.745,0.010139710039663,0.0099566461981716
0.75,0.010176531856783,0.010004060435712
0.755,0.010244279985191,0.010070656552841
0.76,0.010312026847267,0.010137251375146
0.765,0.010379772443234,0.010203844902408
0.77,0.0104407603485,0.010265773241669
0.775,0.010508459607427,0.010332334062298
0.78,0.010576157599556,0.010398893589933
0.785,0.010636689342009,0.010462347187229
0.79,0.010682839687702,0.010513219369881
0.795,0.010674175192262,0.010542695136963
0.8,0.010605332360743,0.010502537789804
0.805,0.010567966784757,0.010479213795577
0.81,0.010405590015206,0.010376632379424
0.815,0.010240451760527,0.010203973140445
0.82,0.0098309744895857,0.0097542426516955
0.825,0.0096578525145217,0.0094783844054898
0.83,0.0096584090510587,0.0094126209917779
0.835,0.0097106159439808,0.0094608789714908
0.84,0.0097686616476144,0.009517425989143
0.845,0.0098267061397344,0.009573971756328
0.85,0.0098070660903083,0.0096019313670401
0.855,0.0097984336620866,0.009625471541272
0.86,0.0097755777196107,0.0096536013864545
0.865,0.0097069823648604,0.0096381238386465
0.87,0.0094527934741923,0.0095054955489731
0.875,0.0090712355141308,0.0092826527639104
0.88,0.0088966936528688,0.0091300379717279
0.885,0.0088329090940975,0.009061526619785
0.89,0.0088827112937532,0.0091126199108115
0.895,0.0089325123735276,0.009163712075377
0.9,0.0089823123155841,0.0092148030954818
0.905,0.0090321111201806,0.0092658929731369
0.91,0.0090819087874527,0.0093169817062307
0.915,0.0091317053160061,0.0093680692960652
0.92,0.009181500708153,0.0094191557415047
0.925,0.0092312949617535,0.0094702410436047
0.93,0.0092810880783753,0.0095213252018905
0.935,0.0092980702045846,0.0094669922287786
0.94,0.0093476855109024,0.0095175097984026
0.945,0.0093972996990907,0.0095680262411254
0.95,0.0094469127497723,0.0096185415335454
0.955,0.0094965246615987,0.0096690556765983
0.96,0.0095461354362991,0.0097195686697221
0.965,0.0095957450716403,0.0097700805132497
0.97,0.0096453535690803,0.0098205912074166
0.975,0.0096949609282403,0.0098711007519926
0.98,0.0097445671489754,0.0099216091472872
0.985,0.0097886173300906,0.0099638901750003
0.99,0.0098381931392602,0.010014354565171
0.995,0.009887767811048,0.010064817805702
1,0.0099373413448451,0.010115279897495
1.005,0.0099869137414795,0.010165740840006
1.01,0.010036485000185,0.010216200633645
1.015,0.010086055121698,0.010266659278414
1.02,0.010135624105344,0.010317116773211
1.025,0.010185191951459,0.010367573119977
1.03,0.010219216079322,0.01031794313445
1.035,0.010240312295818,0.010162363982348
1.04,0.010264175530906,0.010074372656444
1.045,0.010311161028004,0.010113503534103
1.05,0.010360369211042,0.01016175417122
1.055,0.010409576239055,0.010210003647729
1.06,0.010458782109271,0.010258251961011
1.065,0.010507986822908,0.01030649911299
1.07,0.010557190378652,0.01035474510233
1.075,0.010606392777582,0.010402989929128
1.08,0.010655594020371,0.010451233593513
1.085,0.010704794105554,0.010499476094483
1.09,0.010663876427006,0.010522152445551
1.095,0.010712661071588,0.010570275266787
1.1,0.010761444560228,0.010618396925128
1.105,0.010802968721014,0.0106621554109
1.11,0.010700667803884,0.010676451045749
1.115,0.01071278584229,0.010710108082021
1.12,0.010760689573604,0.010757988542598
1.125,0.010808592142556,0.010805867835569
1.13,0.010856493550007,0.010853745961734
1.135,0.010904398342028,0.010901634627961
1.14,0.010952303411416,0.010949525810745
1.145,0.011000207325476,0.010997415823981
1.15,0.011048110082498,0.011045304664515
1.155,0.011096011682332,0.011093192334177
1.16,0.011143912125684,0.011141078831898
1.165,0.011168570212928,0.01109928791415
1.17,0.011216368390782,0.011146787145815
1.175,0.011264165425194,0.011194285221241
1.18,0.011219576817457,0.011214565193161
1.185,0.011266978441376,0.011261946051693
1.19,0.011310246768175,0.011302651148855
1.195,0.011357628733911,0.011350001702309
1.2,0.011405009529324,0.011397351088667
1.205,0.011452389152357,0.011444699307716
1.21,0.011499767604368,0.011492046358354
1.215,0.0115471448851,0.011539392241781
1.22,0.0115945209934,0.011586736957631
1.225,0.011641895930823,0.011634080506399
1.23,0.011689269696597,0.011681422887307
1.235,0.011736642290894,0.01172876410124
1.24,0.011784013714039,0.011776104146816
